MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.5755;0.0397;0.0814;2;0.0010;0.5000;complete;7.0930;relu
0.5270;0.0400;0.0401;2;0.0010;0.5000;average;7.2140;relu
0.5711;0.0397;0.1146;2;0.0010;0.5000;single;7.0757;relu
0.5364;0.0397;0.0939;2;0.0010;0.5500;complete;24.4648;sigmoid
0.5276;0.0398;0.0860;2;0.0010;0.5500;average;24.6202;sigmoid
0.5213;0.0398;0.0715;2;0.0010;0.5500;single;24.3489;sigmoid
0.5317;0.0398;0.0798;2;0.0010;0.5500;complete;24.1782;relu
0.5758;0.0399;0.0657;2;0.0010;0.5500;average;24.3021;relu
0.5951;0.0397;0.1210;2;0.0010;0.5500;single;24.0387;relu
0.6510;0.0395;0.1078;2;0.0010;0.7500;complete;25.0647;sigmoid
0.6268;0.0397;0.0974;2;0.0010;0.7500;average;25.0829;sigmoid
0.6184;0.0396;0.0992;2;0.0010;0.7500;single;24.7691;sigmoid
0.6757;0.0395;0.0840;2;0.0010;0.7500;complete;24.3705;relu
0.6870;0.0396;0.0781;2;0.0010;0.7500;average;24.4560;relu
0.6789;0.0395;0.1177;2;0.0010;0.7500;single;23.9211;relu
0.7148;0.0392;0.1233;2;0.0010;0.9500;complete;25.9998;sigmoid
0.7176;0.0395;0.0939;2;0.0010;0.9500;average;26.1353;sigmoid
0.6967;0.0395;0.1090;2;0.0010;0.9500;single;26.0366;sigmoid
0.7637;0.0392;0.1176;2;0.0010;0.9500;complete;24.8295;relu
0.7421;0.0394;0.0853;2;0.0010;0.9500;average;25.2838;relu
0.7393;0.0394;0.0975;2;0.0010;0.9500;single;24.8695;relu
0.6959;0.0392;0.1187;2;0.0010;0.9950;complete;26.4996;sigmoid
0.7155;0.0394;0.0956;2;0.0010;0.9950;average;26.6038;sigmoid
0.7183;0.0394;0.1027;2;0.0010;0.9950;single;26.0660;sigmoid
0.7147;0.0392;0.1169;2;0.0010;0.9950;complete;26.0904;relu
0.7321;0.0394;0.0933;2;0.0010;0.9950;average;25.8407;relu
0.7248;0.0394;0.0865;2;0.0010;0.9950;single;25.6148;relu
0.5419;0.0397;0.0951;2;0.0100;0.5000;complete;7.3098;sigmoid
0.4824;0.0399;0.0924;2;0.0100;0.5000;average;7.1449;sigmoid
0.5048;0.0398;0.0812;2;0.0100;0.5000;single;7.1718;sigmoid
0.5134;0.0398;0.1152;2;0.0100;0.5000;complete;7.1689;relu
0.5863;0.0399;0.0748;2;0.0100;0.5000;average;7.1152;relu
0.5568;0.0397;0.1189;2;0.0100;0.5000;single;7.0862;relu
0.5183;0.0398;0.0920;2;0.0100;0.5500;complete;24.5265;sigmoid
0.5268;0.0398;0.0877;2;0.0100;0.5500;average;24.2891;sigmoid
0.5163;0.0398;0.0652;2;0.0100;0.5500;single;24.0052;sigmoid
0.5443;0.0399;0.0670;2;0.0100;0.5500;complete;24.1201;relu
0.5208;0.0400;0.0646;2;0.0100;0.5500;average;24.0775;relu
0.5373;0.0398;0.1105;2;0.0100;0.5500;single;24.0413;relu
0.6496;0.0394;0.1083;2;0.0100;0.7500;complete;24.5704;sigmoid
0.6235;0.0397;0.0922;2;0.0100;0.7500;average;24.7686;sigmoid
0.6348;0.0396;0.1041;2;0.0100;0.7500;single;24.1868;sigmoid
0.6614;0.0395;0.1074;2;0.0100;0.7500;complete;24.2000;relu
0.6742;0.0396;0.0810;2;0.0100;0.7500;average;24.2169;relu
0.6991;0.0395;0.1312;2;0.0100;0.7500;single;24.0087;relu
0.7220;0.0392;0.1158;2;0.0100;0.9500;complete;24.7886;sigmoid
0.7021;0.0395;0.1027;2;0.0100;0.9500;average;25.4929;sigmoid
0.7006;0.0395;0.1027;2;0.0100;0.9500;single;24.7799;sigmoid
0.7626;0.0393;0.1078;2;0.0100;0.9500;complete;24.2967;relu
