MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.6956;0.0548;0.2603;5;0.0000;0.7500;17.2040;sigmoid
0.7089;0.0547;0.2794;5;0.0000;0.7500;17.0730;relu
0.7379;0.0546;0.2661;5;0.0000;0.9500;17.0465;sigmoid
0.7331;0.0547;0.2932;5;0.0000;0.9500;16.9197;relu
0.6952;0.0550;0.2281;5;0.0000;0.9950;16.4643;sigmoid
0.6612;0.0549;0.2242;5;0.0000;0.9950;16.2603;relu
0.6475;0.0550;0.2289;5;0.0000;0.5000;3.8712;sigmoid
0.6483;0.0550;0.2245;5;0.0000;0.5000;3.5876;relu
0.6519;0.0550;0.2261;5;0.0000;0.5500;17.0308;sigmoid
0.6480;0.0551;0.2558;5;0.0000;0.5500;16.1313;relu
0.7016;0.0546;0.3197;5;0.0000;0.7500;17.1982;sigmoid
0.7116;0.0548;0.2623;5;0.0000;0.7500;16.7581;relu
0.7405;0.0544;0.3694;5;0.0000;0.9500;17.2834;sigmoid
0.7147;0.0547;0.2842;5;0.0000;0.9500;16.9444;relu
0.6976;0.0547;0.2396;5;0.0000;0.9950;16.7548;sigmoid
0.6851;0.0547;0.2636;5;0.0000;0.9950;16.4637;relu
0.6460;0.0550;0.1999;5;0.0001;0.5000;3.8096;sigmoid
0.6616;0.0550;0.2243;5;0.0001;0.5000;3.5678;relu
0.6452;0.0550;0.2256;5;0.0001;0.5500;16.5272;sigmoid
0.6419;0.0554;0.1731;5;0.0001;0.5500;15.8092;relu
0.6820;0.0548;0.2995;5;0.0001;0.7500;17.0009;sigmoid
0.7030;0.0548;0.2552;5;0.0001;0.7500;16.0669;relu
0.7218;0.0545;0.2961;5;0.0001;0.9500;17.6778;sigmoid
0.7346;0.0547;0.3238;5;0.0001;0.9500;16.9415;relu
0.6920;0.0547;0.2780;5;0.0001;0.9950;16.5991;sigmoid
0.7118;0.0547;0.2890;5;0.0001;0.9950;16.6598;relu
0.6150;0.0552;0.2211;5;0.0010;0.5000;3.8339;sigmoid
0.6161;0.0554;0.1906;5;0.0010;0.5000;3.6930;relu
0.6431;0.0551;0.2394;5;0.0010;0.5500;16.1514;sigmoid
0.6665;0.0550;0.2572;5;0.0010;0.5500;15.4855;relu
0.6976;0.0547;0.2539;5;0.0010;0.7500;16.1158;sigmoid
0.7006;0.0548;0.2590;5;0.0010;0.7500;15.5367;relu
0.7372;0.0546;0.3217;5;0.0010;0.9500;17.0003;sigmoid
0.7379;0.0546;0.3417;5;0.0010;0.9500;15.6131;relu
0.6937;0.0547;0.2295;5;0.0010;0.9950;17.0494;sigmoid
0.6869;0.0548;0.2119;5;0.0010;0.9950;15.9248;relu
0.6063;0.0552;0.3015;5;0.0100;0.5000;3.7450;sigmoid
0.6248;0.0552;0.2225;5;0.0100;0.5000;3.5298;relu
0.6377;0.0551;0.2469;5;0.0100;0.5500;15.6418;sigmoid
0.6326;0.0553;0.2021;5;0.0100;0.5500;15.5454;relu
0.6802;0.0549;0.2489;5;0.0100;0.7500;15.8210;sigmoid
0.6942;0.0549;0.2551;5;0.0100;0.7500;15.4582;relu
0.7334;0.0545;0.3357;5;0.0100;0.9500;16.1086;sigmoid
0.7235;0.0546;0.3114;5;0.0100;0.9500;15.3253;relu
0.6644;0.0548;0.2946;5;0.0100;0.9950;16.0730;sigmoid
0.7114;0.0546;0.2719;5;0.0100;0.9950;15.4508;relu
0.5624;0.0555;0.2297;5;0.1000;0.5000;3.7578;sigmoid
0.6246;0.0551;0.2192;5;0.1000;0.5000;3.6153;relu
0.6158;0.0551;0.2471;5;0.1000;0.5500;15.5935;sigmoid
0.6046;0.0554;0.1519;5;0.1000;0.5500;15.4761;relu
0.6731;0.0548;0.2500;5;0.1000;0.7500;15.7725;sigmoid
0.6853;0.0548;0.2364;5;0.1000;0.7500;15.3536;relu
0.7047;0.0549;0.2371;5;0.1000;0.9500;15.6803;sigmoid
0.7271;0.0547;0.2955;5;0.1000;0.9500;15.6578;relu
0.7058;0.0549;0.2636;5;0.1000;0.9950;15.4213;sigmoid
0.7025;0.0549;0.2524;5;0.1000;0.9950;15.3714;relu
0.5192;0.0554;0.2150;5;1.0000;0.5000;3.7732;sigmoid
0.5496;0.0554;0.1070;5;1.0000;0.5000;3.6053;relu
0.5437;0.0552;0.2099;5;1.0000;0.5500;15.7213;sigmoid
0.5344;0.0551;0.1994;5;1.0000;0.5500;15.4283;relu
0.6442;0.0550;0.1962;5;1.0000;0.7500;15.5760;sigmoid
0.6034;0.0552;0.1382;5;1.0000;0.7500;15.3905;relu
0.7261;0.0547;0.2520;5;1.0000;0.9500;15.6143;sigmoid
0.7132;0.0549;0.2250;5;1.0000;0.9500;15.3687;relu
0.6631;0.0551;0.1700;5;1.0000;0.9950;15.5565;sigmoid
0.6304;0.0554;0.1161;5;1.0000;0.9950;15.3942;relu
0.4306;0.0553;0.1946;5;10.0000;0.5000;3.7600;sigmoid
0.2965;0.0548;0.1342;5;10.0000;0.5000;3.5776;relu
0.4440;0.0548;0.1748;5;10.0000;0.5500;15.6410;sigmoid
0.2674;0.0548;0.1307;5;10.0000;0.5500;15.3553;relu
