MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.5223;0.1562;0.1455;2;0.0001;0.9950;single;1.5746;relu
0.6474;0.1546;0.6342;2;0.0010;0.5000;complete;0.6665;sigmoid
0.7317;0.1527;0.9455;2;0.0010;0.5000;average;0.6601;sigmoid
0.7313;0.1528;0.9251;2;0.0010;0.5000;single;0.6818;sigmoid
0.6702;0.1539;0.6655;2;0.0010;0.5000;complete;0.6335;relu
0.7410;0.1529;0.9105;2;0.0010;0.5000;average;0.6257;relu
0.7410;0.1530;0.9020;2;0.0010;0.5000;single;0.6279;relu
0.6386;0.1545;0.6223;2;0.0010;0.5500;complete;1.5798;sigmoid
0.7313;0.1528;0.9251;2;0.0010;0.5500;average;1.5975;sigmoid
0.7313;0.1528;0.9251;2;0.0010;0.5500;single;1.5848;sigmoid
0.6459;0.1545;0.6341;2;0.0010;0.5500;complete;1.5574;relu
0.7410;0.1530;0.9044;2;0.0010;0.5500;average;1.6006;relu
0.7322;0.1529;0.9109;2;0.0010;0.5500;single;1.5420;relu
0.7214;0.1529;0.8998;2;0.0010;0.7500;complete;1.5947;sigmoid
0.7336;0.1527;0.9484;2;0.0010;0.7500;average;1.5866;sigmoid
0.7336;0.1527;0.9484;2;0.0010;0.7500;single;1.5813;sigmoid
0.7310;0.1531;0.8836;2;0.0010;0.7500;complete;1.5469;relu
0.7410;0.1530;0.9020;2;0.0010;0.7500;average;1.6150;relu
0.7410;0.1530;0.9020;2;0.0010;0.7500;single;1.5665;relu
0.5835;0.1567;0.2878;2;0.0010;0.9500;complete;1.6506;sigmoid
0.6484;0.1561;0.4390;2;0.0010;0.9500;average;1.7468;sigmoid
0.6133;0.1558;0.3984;2;0.0010;0.9500;single;1.6672;sigmoid
0.6062;0.1566;0.2816;2;0.0010;0.9500;complete;1.5887;relu
0.6563;0.1560;0.4399;2;0.0010;0.9500;average;1.6679;relu
0.6080;0.1559;0.3934;2;0.0010;0.9500;single;1.5825;relu
0.4831;0.1567;0.0862;2;0.0010;0.9950;complete;1.6028;sigmoid
0.4857;0.1569;0.1260;2;0.0010;0.9950;average;1.6162;sigmoid
0.4887;0.1559;0.1630;2;0.0010;0.9950;single;1.6105;sigmoid
0.5295;0.1565;0.1158;2;0.0010;0.9950;complete;1.6019;relu
0.4873;0.1569;0.1207;2;0.0010;0.9950;average;1.6856;relu
0.4633;0.1570;0.1407;2;0.0010;0.9950;single;1.5649;relu
0.6444;0.1546;0.6264;2;0.0100;0.5000;complete;0.6571;sigmoid
0.7325;0.1527;0.9449;2;0.0100;0.5000;average;0.6638;sigmoid
0.7318;0.1528;0.9246;2;0.0100;0.5000;single;0.6648;sigmoid
0.6738;0.1539;0.6707;2;0.0100;0.5000;complete;0.6271;relu
0.7410;0.1530;0.9049;2;0.0100;0.5000;average;0.6311;relu
0.7375;0.1530;0.9005;2;0.0100;0.5000;single;0.6274;relu
0.6369;0.1545;0.6194;2;0.0100;0.5500;complete;1.6046;sigmoid
0.7315;0.1528;0.9285;2;0.0100;0.5500;average;1.6682;sigmoid
0.7317;0.1527;0.9455;2;0.0100;0.5500;single;1.5672;sigmoid
0.6748;0.1538;0.6725;2;0.0100;0.5500;complete;1.6515;relu
0.7410;0.1530;0.9017;2;0.0100;0.5500;average;1.6630;relu
0.6706;0.1536;0.6482;2;0.0100;0.5500;single;1.5589;relu
0.7189;0.1528;0.9058;2;0.0100;0.7500;complete;1.5861;sigmoid
0.7336;0.1527;0.9483;2;0.0100;0.7500;average;1.5768;sigmoid
0.7321;0.1528;0.9205;2;0.0100;0.7500;single;1.6215;sigmoid
0.7271;0.1531;0.8711;2;0.0100;0.7500;complete;1.5956;relu
